method,clusters_size,n_cluster,silhouette_score,coph_corr,features
single,[5219    1    1    6    2   19    1    1],8,0.4619205618845839,0.6186599160911422,"['climb_total', 'climb/length', 'startlist_quality']"
single,[   3    1    2 4736   53  455],6,0.46174815186321844,0.6549228806980254,"['points', 'climb/length', 'startlist_quality']"
average,[  27   28  508  832 3855],5,0.46171747826992743,0.8486401110887601,"['points', 'length', 'climb/length']"
complete,[3704  508   61  789  188],5,0.46098908890799273,0.7376555532823066,"['points', 'climb_total', 'climb/length', 'median_delta']"
ward,[ 508  707 4035],3,0.46053757234367326,0.8275380545611692,"['points', 'length', 'startlist_quality']"
ward,[3260  508 1482],3,0.4602347226642566,0.6670755758476412,"['points', 'climb_total', 'climb/length', 'median_delta']"
average,[  54    1 3479 1207  506    2    1],7,0.4600569844488243,0.7797286036471732,"['points', 'climb_total', 'climb/length', 'median_delta']"
average,[   2  506 4475  227   40],5,0.460056653232634,0.8466127492428348,"['points', 'median_delta', 'startlist_quality']"
average,[   2  506    3  176  683 3880],6,0.4591487117594978,0.8608467270688923,"['points', 'length', 'median_delta']"
single,[   2 4739    1   53  455],5,0.45875377004550405,0.5990778683951654,"['points', 'climb_total', 'climb/length']"
average,[  57  508  635 4050],4,0.45734345096567997,0.8189888002129369,"['points', 'length', 'climb_total', 'climb/length']"
single,[4742   53  453    2],4,0.45718756203673255,0.6072572232266966,"['points', 'median_delta', 'startlist_quality']"
average,[ 508  369 4373],3,0.4566748375494927,0.8211064726405677,"['points', 'length', 'climb_total', 'median_delta']"
average,[  56 4970  224],3,0.45657272243782854,0.7984894591823992,"['length', 'climb_total', 'climb/length', 'median_delta']"
average,[  30  508 4712],3,0.4562071775817606,0.8348932356893539,"['points', 'length', 'climb/length', 'median_delta']"
average,[  56 4712   11  471],4,0.45490254028922616,0.817222247152381,"['length', 'climb/length', 'median_delta']"
complete,[ 508  230  950 3562],4,0.4542585603322307,0.8328899753721735,"['points', 'length', 'median_delta']"
average,[  11   29  508 4702],4,0.4541572011308192,0.8333786206708368,"['points', 'climb/length', 'startlist_quality']"
average,[  28    2 4496  724],4,0.454059875752998,0.8011844286909774,"['climb/length', 'median_delta', 'startlist_quality']"
single,[   1    1 4742   53  453],5,0.45370483891684055,0.6159399057376367,"['points', 'length', 'median_delta']"
ward,[ 735 3695  820],3,0.4536721452318632,0.7000494204087092,"['length', 'climb/length', 'median_delta']"
complete,[ 354  508 4388],3,0.4524139278257022,0.7361618381943185,"['points', 'length', 'climb_total', 'median_delta']"
average,[  55 4686  509],3,0.4520044499901953,0.7797286036471732,"['points', 'climb_total', 'climb/length', 'median_delta']"
single,[   1    1 4741    1   53  453],6,0.4519836206038509,0.6159399057376367,"['points', 'length', 'median_delta']"
complete,[  56  117  391  790 3896],5,0.45118505546197635,0.7979311454580628,"['points', 'climb_total', 'climb/length']"
average,[  54    1 3479 1207    2  504    2    1],8,0.4509147993903671,0.7797286036471732,"['points', 'climb_total', 'climb/length', 'median_delta']"
average,[ 508  369  685 3688],4,0.4505622602537688,0.8211064726405677,"['points', 'length', 'climb_total', 'median_delta']"
average,[  11    7   22  508 4702],5,0.4499282130992213,0.8333786206708368,"['points', 'climb/length', 'startlist_quality']"
ward,[2889  579  104  508 1170],5,0.4495422471746202,0.674894237502734,"['points', 'length', 'climb/length', 'median_delta']"
ward,[2889  683  508 1170],4,0.44928744021021877,0.674894237502734,"['points', 'length', 'climb/length', 'median_delta']"
complete,[  56  628  508 4058],4,0.44844075873777667,0.7546519469896821,"['points', 'length', 'climb/length', 'median_delta']"
average,[  57  507    1  492 4193],5,0.44842831094418495,0.8241312523049772,"['points', 'climb_total', 'climb/length']"
complete,[ 107  508 4635],3,0.44776742070396175,0.6437907507003353,"['points', 'length', 'climb_total', 'climb/length']"
average,[  54  508 4688],3,0.4472296998951165,0.818475803529342,"['points', 'length', 'climb/length', 'startlist_quality']"
complete,[  28  251 4971],3,0.44702908118233836,0.5785015069039837,"['climb_total', 'climb/length', 'median_delta', 'startlist_quality']"
ward,[ 735 3695   91  729],4,0.44676366122232675,0.7000494204087092,"['length', 'climb/length', 'median_delta']"
single,[4742   53  454    1],4,0.4460022018423324,0.6461705991799473,"['points', 'climb_total', 'startlist_quality']"
single,[4742   52    1  454    1],5,0.4456677095303868,0.6461705991799473,"['points', 'climb_total', 'startlist_quality']"
complete,[4508   30  712],3,0.44564485205264687,0.7370294740594558,"['points', 'climb/length', 'median_delta']"
complete,[  27   29  117  391  790 3896],6,0.44497517856404806,0.7979311454580628,"['points', 'climb_total', 'climb/length']"
average,[   2  506  542 3933  227   40],6,0.4406290919024201,0.8466127492428348,"['points', 'median_delta', 'startlist_quality']"
