method,clusters_size,n_cluster,silhouette_score,coph_corr,features
average,[   9  389 1032 3553   11  961],6,0.22711486574886117,0.6486667771758948,"['# cyclist races', 'birth_year', 'std_dev position']"
ward,[ 595  583 2414  652 1711],5,0.2268702310797545,0.5307815797218554,"['AVG position', 'birth_year', 'std_dev position']"
ward,[ 796 1776  545  835 2003],5,0.22547863320762457,0.5221583720863242,"['BMI', '# cyclist races', 'birth_year']"
average,[ 735  439 4781],3,0.22527974695739275,0.6467936519458927,"['BMI', 'AVG position', '# cyclist races', 'birth_year', 'std_dev position']"
average,[   3  533   16  843  608  155 3797],7,0.22508197498745192,0.7380804986134185,"['AVG position', '# cyclist races', 'std_dev position']"
average,[  16    2 5937],3,0.2250670645679408,0.6004043652552291,"['BMI', 'AVG position', 'birth_year']"
ward,[ 429 1536 1794 2196],4,0.2249763823208347,0.5232987662241266,"['BMI', 'birth_year', 'std_dev position']"
average,[ 767 5167    7   14],4,0.22466585842997003,0.6274769819611113,"['BMI', 'AVG position', '# cyclist races', 'std_dev position']"
complete,[ 449   34  995 1800 1316 1361],6,0.22462840991925143,0.5327380706827063,"['# cyclist races', 'birth_year', 'std_dev position']"
ward,[ 796  468 1308  545  835  409 1594],7,0.22437157350147016,0.5221583720863242,"['BMI', '# cyclist races', 'birth_year']"
ward,[ 683  655  828 1910 1204  675],6,0.22433469747304077,0.6344500388606918,"['AVG position', '# cyclist races', 'birth_year', 'std_dev position']"
single,[   2 5952    1],3,0.22364173058454773,0.3530101646771994,"['# cyclist races', 'birth_year', 'std_dev position']"
single,[   4    3    2 5942    1    1    1    1],8,0.22301674643397798,0.46192357799900957,"['BMI', 'birth_year', 'std_dev position']"
average,[ 117 1073 4261  504],4,0.22299583815391869,0.6360851901057543,"['BMI', 'birth_year', 'std_dev position']"
average,[5310  619    1    4   21],5,0.22281886802310977,0.6667007969499511,"['BMI', 'AVG position', '# cyclist races']"
single,[5949    1    1    1    1    1    1],7,0.22259690037124852,0.4041068722633611,"['BMI', '# cyclist races', 'birth_year', 'std_dev position']"
ward,[1424  500 4031],3,0.22229252740275268,0.5062921080670673,"['BMI', '# cyclist races', 'birth_year', 'std_dev position']"
ward,[ 999  975 3981],3,0.22220352276264946,0.5479685435735497,"['BMI', 'AVG position', '# cyclist races', 'birth_year', 'std_dev position']"
ward,[ 683  655  828  670 1240 1204  675],7,0.22141647893622954,0.6344500388606918,"['AVG position', '# cyclist races', 'birth_year', 'std_dev position']"
ward,[ 568  777  844 1105  931  510  389  831],8,0.2210095051957404,0.4927596107422389,"['BMI', 'AVG position', '# cyclist races']"
average,[ 927    9 5019],3,0.22077143250081935,0.6571330678530021,"['BMI', 'AVG position', 'birth_year', 'std_dev position']"
ward,[ 667 1158  341  684  898 1024 1183],7,0.22039425039413724,0.5435160428833015,"['BMI', '# cyclist races', 'std_dev position']"
single,[5952    1    1    1],4,0.22027378554778423,0.43210463494143275,"['BMI', 'AVG position', 'birth_year', 'std_dev position']"
single,[   2 5947    1    1    1    1    1    1],8,0.22006096399367572,0.4041068722633611,"['BMI', '# cyclist races', 'birth_year', 'std_dev position']"
ward,[ 667 1158 1025  898 1024 1183],6,0.21941124218854935,0.5435160428833015,"['BMI', '# cyclist races', 'std_dev position']"
complete,[ 335  570 1192 3858],4,0.21898027841132725,0.5701979025032431,"['BMI', '# cyclist races', 'birth_year']"
ward,[ 568  777  844 1105  931 1730],6,0.21841392620612518,0.4927596107422389,"['BMI', 'AVG position', '# cyclist races']"
ward,[ 683  655  828  670 1240 1204  260  415],8,0.2179305433037403,0.6344500388606918,"['AVG position', '# cyclist races', 'birth_year', 'std_dev position']"
complete,[ 449 1029 1800 2677],4,0.21791145268507764,0.5327380706827063,"['# cyclist races', 'birth_year', 'std_dev position']"
ward,[ 429 1536 1794  682 1514],5,0.21773679897012604,0.5232987662241266,"['BMI', 'birth_year', 'std_dev position']"
ward,[ 667 1158  341  684  898 1024  648  535],8,0.2173117877320869,0.5435160428833015,"['BMI', '# cyclist races', 'std_dev position']"
