_url,name,points,uci_points,length,climb_total,profile,startlist_quality,average_temperature,is_tarmac,is_cobbled,is_gravel,climb/length
tour-de-romandie/1996/stage-2,Tour de Romandie,50,,188000,,,614,,1,0,0,
tour-de-france/1990/stage-9,Tour de France,100,,196000,2381,2,1959,,1,0,0,0.012147959183673469
vuelta-a-espana/1998/stage-7,Vuelta a España,80,,186000,1594,,1309,,1,0,0,0.00856989247311828
tour-de-suisse/2022/stage-8,Tour de Suisse,50,60,25600,131,1,767,,1,0,0,0.0051171875
paris-nice/1975/stage-7a,Paris - Nice,50,,105000,,,951,,1,0,0,
vuelta-a-espana/1984/stage-8,Vuelta a España,80,,269000,,,747,,1,0,0,
tour-de-france/1987/stage-24,Tour de France,100,,38000,472,2,1812,,1,0,0,0.012421052631578947
paris-nice/1992/stage-6,Paris - Nice,50,,180000,,,877,,1,0,0,
tour-de-france/2016/stage-13,Tour de France,100,120,37500,752,3,1758,,1,0,0,0.020053333333333333
paris-nice/1997/stage-6,Paris - Nice,50,,160500,,,779,,1,0,0,
tour-de-romandie/2012/stage-2,Tour de Romandie,50,6,149100,2459,4,727,,1,0,0,0.016492287055667337
vuelta-a-espana/1986/stage-12,Vuelta a España,80,,258000,4880,,843,,1,0,0,0.01891472868217054
tour-de-suisse/2008/stage-6,Tour de Suisse,50,,188100,,,1041,,1,0,0,
tour-de-france/2021/stage-18,Tour de France,100,120,129700,3561,5,1646,,1,0,0,0.02745566692367001
vuelta-a-espana/2003/stage-5,Vuelta a España,80,,166700,835,1,935,,1,0,0,0.005008998200359928
tour-de-suisse/2003/stage-6,Tour de Suisse,50,,135000,,,660,,1,0,0,
vuelta-a-espana/1988/stage-7,Vuelta a España,80,,160000,479,,828,,1,0,0,0.00299375
la-fleche-wallone/1996/result,La Flèche Wallonne,225,,200500,,,961,,0,0,0,
world-championship/1996/result,World Championships - Road Race,350,,252000,4981,,1238,,0,0,0,0.019765873015873014
tour-de-france/2001/stage-1,Tour de France,100,,194500,1885,1,1496,,1,0,0,0.009691516709511568
giro-d-italia/2020/stage-21,Giro d'Italia,80,100,15700,3,1,765,,1,0,0,0.0001910828025477707
dauphine/2000/stage-4,Criterium du Dauphiné Libére,50,,159000,,,494,,1,0,0,
tour-de-france/1991/stage-12,Tour de France,100,,192000,4000,4,1933,,1,0,0,0.020833333333333332
tour-de-romandie/1989/stage-3,Tour de Romandie,50,,123100,,,502,,1,0,0,
tour-de-romandie/2013/stage-2,Tour de Romandie,50,6,190300,2403,2,956,,1,0,0,0.012627430373095112
tour-de-france/1989/stage-17,Tour de France,100,,165000,5000,5,1849,,1,0,0,0.030303030303030304
tirreno-adriatico/2008/stage-2,Tirreno-Adriatico,50,,203000,,3,1136,,1,0,0,
vuelta-a-espana/1993/stage-12,Vuelta a España,80,,220700,1003,,819,,1,0,0,0.00454463072043498
tour-de-suisse/1970/stage-3,Tour de Suisse,50,,144000,,,393,,1,0,0,
volta-a-catalunya/2006/stage-6,Volta Ciclista a Catalunya,50,,166400,,2,882,,1,0,0,
tour-de-romandie/2001/stage-5,Tour de Romandie,50,,178000,,,597,,1,0,0,
tirreno-adriatico/2018/stage-5,Tirreno-Adriatico,50,60,178000,1946,3,1196,,1,0,0,0.01093258426966292
tirreno-adriatico/1997/stage-2,Tirreno-Adriatico,50,,131000,,,692,,1,0,0,
amstel-gold-race/1977/result,Amstel Gold Race,225,,230000,,,874,,0,0,0,
giro-d-italia/1991/stage-13,Giro d'Italia,80,,192000,,,908,,1,0,0,
ronde-van-vlaanderen/1990/result,Ronde van Vlaanderen / Tour des Flandres,275,,265000,,,888,,0,0,0,
tour-de-france/1979/stage-11,Tour de France,100,,33400,352,1,1381,,1,0,0,0.010538922155688623
uae-tour/2023/stage-5,UAE Tour,50,40,170000,522,1,530,29,1,0,0,0.0030705882352941175
volta-a-catalunya/2010/stage-6,Volta Ciclista a Catalunya,50,6,161900,,,722,,1,0,0,
giro-d-italia/1993/stage-5,Giro d'Italia,80,,212000,,,1089,,1,0,0,
e3-harelbeke/1978/result,E3-Prijs Harelbeke,125,,230000,,,446,,0,0,0,
giro-d-italia/2018/stage-10,Giro d'Italia,80,100,244000,4133,2,838,,1,0,0,0.016938524590163935
tour-de-france/1987/stage-1,Tour de France,100,,105500,723,1,1812,,1,0,0,0.006853080568720379
vuelta-a-espana/1993/stage-20,Vuelta a España,80,,247000,2363,,819,,1,0,0,0.009566801619433199
omloop-het-nieuwsblad/1995/result,Omloop Het Volk,125,,205000,,,373,,0,0,0,
tour-de-france/1997/stage-5,Tour de France,100,,261300,2212,1,1994,,1,0,0,0.008465365480290853
tour-de-france/1992/stage-15,Tour de France,100,,198000,2662,2,2047,,1,0,0,0.013444444444444445
tour-de-suisse/1998/stage-9,Tour de Suisse,50,,180000,,,971,,1,0,0,
tour-de-france/1996/stage-15,Tour de France,100,,176000,2629,1,1872,,1,0,0,0.0149375
tirreno-adriatico/1992/stage-5,Tirreno-Adriatico,50,,214000,,,638,,1,0,0,
giro-d-italia/2019/stage-16,Giro d'Italia,80,100,194000,5207,4,896,,1,0,0,0.02684020618556701
dauphine/2022/stage-3,Critérium du Dauphiné,50,60,169000,2707,5,789,20,1,0,0,0.01601775147928994
paris-nice/1989/stage-5,Paris - Nice,50,,178000,,,794,,1,0,0,
liege-bastogne-liege/1992/result,Liège - Bastogne - Liège,275,,262000,,,932,,0,0,0,
tirreno-adriatico/2013/stage-7,Tirreno-Adriatico,50,6,9200,6,1,1331,,1,0,0,0.0006521739130434783
dauphine/2017/stage-8,Critérium du Dauphiné,50,60,115000,4113,5,1024,,1,0,0,0.035765217391304345
tour-de-suisse/1976/stage-8,Tour de Suisse,50,,188000,,,377,,1,0,0,
itzulia-basque-country/2023/stage-2,Itzulia Basque Country,50,50,193800,3261,2,719,11,1,0,0,0.016826625386996905
paris-nice/1970/stage-2,Paris - Nice,50,,226000,,,1121,,1,0,0,
vuelta-a-espana/1991/stage-17,Vuelta a España,80,,152000,2561,,1042,,1,0,0,0.016848684210526314
vuelta-a-espana/1997/stage-20,Vuelta a España,80,,190000,2978,,1165,,1,0,0,0.015673684210526315
amstel-gold-race/2009/result,Amstel Gold Race,225,,258600,,3,1105,,0,0,0,
tour-de-france/2005/stage-13,Tour de France,100,,174000,1117,1,1535,,1,0,0,0.006419540229885058
tour-de-france/1982/stage-1,Tour de France,100,,207000,3367,2,1492,,1,0,0,0.016265700483091786
volta-a-catalunya/2011/stage-7,Volta Ciclista a Catalunya,50,6,124500,,,732,,1,0,0,
giro-d-italia/2000/stage-14,Giro d'Italia,80,,205000,4776,4,866,,1,0,0,0.023297560975609755
giro-d-italia/2002/prologue,Giro d'Italia,80,,6500,21,1,920,,1,0,0,0.0032307692307692306
tour-de-france/1978/stage-19,Tour de France,100,,182000,2000,2,1241,,1,0,0,0.01098901098901099
tour-de-suisse/2012/stage-4,Tour de Suisse,50,6,192700,2499,,917,,1,0,0,0.012968344577062791
tour-de-france/2023/stage-4,Tour de France,100,210,181800,1427,1,1584,25,1,0,0,0.00784928492849285
e3-harelbeke/1998/result,E3-Prijs Harelbeke,125,,201000,,,653,,0,0,0,
san-sebastian/2016/result,Clasica Ciclista San Sebastian,225,400,220200,3851,2,906,,0,0,0,0.017488646684831972
tour-de-france/1997/stage-8,Tour de France,100,,161500,1346,1,1994,,1,0,0,0.008334365325077399
tour-de-romandie/1993/stage-2,Tour de Romandie,50,,203700,,,551,,1,0,0,
paris-roubaix/1973/result,Paris - Roubaix,275,,272500,,,611,,0,0,0,
volta-a-catalunya/2021/stage-1,Volta Ciclista a Catalunya,50,50,178400,2819,4,772,,1,0,0,0.015801569506726457
vuelta-a-espana/2012/stage-12,Vuelta a España,80,16,184600,2589,3,852,,1,0,0,0.014024918743228603
paris-roubaix/2009/result,Paris - Roubaix,275,,259000,,1,607,,0,0,0,
vuelta-a-espana/1994/stage-10,Vuelta a España,80,,205000,3958,,791,,1,0,0,0.01930731707317073
vuelta-a-espana/2010/stage-20,Vuelta a España,80,,168800,4189,5,1123,,1,0,0,0.024816350710900475
vuelta-a-espana/2004/stage-6,Vuelta a España,80,,157000,1931,2,1177,,1,0,0,0.01229936305732484
amstel-gold-race/1974/result,Amstel Gold Race,225,,238000,,,389,,0,0,0,
paris-nice/1975/stage-3,Paris - Nice,50,,234000,,,951,,1,0,0,
tour-de-france/1983/stage-14,Tour de France,100,,149000,2500,4,1269,,1,0,0,0.016778523489932886
vuelta-a-espana/2010/stage-6,Vuelta a España,80,16,144000,1243,2,1123,,1,0,0,0.008631944444444444
tour-de-suisse/2001/stage-1,Tour de Suisse,50,,178800,,,873,,1,0,0,
