_url,name,points,uci_points,length,climb_total,profile,startlist_quality,average_temperature,is_tarmac,is_cobbled,is_gravel,date,climb/length,median_delta,std_delta
tour-de-suisse/1992/stage-10,Tour de Suisse,50,,188000,1186,1,533,,1,0,0,1992-06-26,0.006308510638297873,0.0,0.0
tour-de-suisse/1996/stage-1,Tour de Suisse,50,,190100,1327,1,971,,1,0,0,1996-06-12,0.006980536559705418,75.0,24.130720392617103
vuelta-a-espana/1989/stage-13,Vuelta a España,80,,161000,2500,3,803,,1,0,0,1989-05-06,0.015527950310559006,0.0,0.0
giro-d-italia/2016/stage-9,Giro d'Italia,80,100,40500,561,2,933,,1,0,0,2016-05-15,0.013851851851851851,316.0,120.34664288456086
la-fleche-wallone/2000/result,La Flèche Wallonne,225,,198000,2445,3,819,,0,0,0,2000-04-12,0.012348484848484848,475.5,414.3011922204425
tour-de-france/1983/stage-11,Tour de France,100,,177000,1202,1,1269,,1,0,0,1983-07-12,0.006790960451977401,126.0,264.6895463403226
tour-de-suisse/1992/stage-4,Tour de Suisse,50,,32200,407,2,533,,1,0,0,1992-06-20,0.012639751552795031,41.0,22.909483722782678
uae-tour/2019/stage-2,UAE Tour,50,40,184000,255,1,751,,1,0,0,2019-02-25,0.0013858695652173912,0.0,54.97786589813556
liege-bastogne-liege/2002/result,Liège - Bastogne - Liège,275,,258000,4026,3,1202,,0,0,0,2002-04-21,0.015604651162790698,301.0,340.05673179905847
volta-a-catalunya/1970/stage-9,Volta Ciclista a Catalunya,50,,124200,1308,2,570,,1,0,0,1970-09-18,0.010531400966183576,51.0,25.182193255212248
tour-de-suisse/1986/stage-3,Tour de Suisse,50,,217500,2598,2,835,,1,0,0,1986-06-13,0.011944827586206897,0.0,0.0
gran-camino/2022/stage-3,Gran Camiño,20,14,148400,2669,2,225,,1,0,0,2022-02-26,0.017985175202156336,754.0,451.47549599688693
tour-de-france/2012/stage-17,Tour de France,100,20,143500,4383,5,1703,,1,0,0,2012-07-19,0.03054355400696864,966.0,678.6874992644991
world-championship/2002/result,World Championships ME - Road Race,350,,256000,1608,1,1416,,0,0,0,2002-10-13,0.00628125,119.0,156.42044293708594
tour-de-romandie/1987/stage-4,Tour de Romandie,50,,156000,2659,4,251,,1,0,0,1987-05-09,0.017044871794871796,5.0,15.932297236685464
vuelta-a-espana/2001/stage-1,Vuelta a España,80,,12300,95,1,971,,1,0,0,2001-09-08,0.007723577235772358,79.0,41.197949260890866
paris-nice/2017/stage-8,Paris - Nice,50,60,115500,2292,4,1158,,1,0,0,2017-03-12,0.019844155844155845,205.0,453.35197966974
tour-de-france/1978/stage-16,Tour de France,100,,240500,5492,5,1241,,1,0,0,1978-07-16,0.022835758835758835,928.5,469.1148085708598
amstel-gold-race/2018/result,Amstel Gold Race,225,500,263000,3496,2,1139,,0,0,0,2018-04-15,0.013292775665399239,206.0,72.91462785563992
tour-de-suisse/1982/prologue,Tour de Suisse,50,,4000,27,1,657,,1,0,0,1982-06-16,0.00675,5.0,3.669695718539436
vuelta-a-espana/2020/stage-11,La Vuelta ciclista a España,80,100,170000,5098,5,692,,1,0,0,2020-10-31,0.029988235294117645,1687.0,774.3441760341829
tour-de-suisse/2015/stage-4,Tour de Suisse,50,6,193200,2323,3,1048,,1,0,0,2015-06-16,0.012023809523809523,248.0,422.04367926678594
tour-de-romandie/1991/stage-6,Tour de Romandie,50,,194500,1095,1,521,,1,0,0,1991-05-12,0.005629820051413882,96.0,52.58136552049595
giro-d-italia/1996/stage-15,Giro d'Italia,80,,235000,2552,2,1034,,1,0,0,1996-06-02,0.010859574468085106,174.0,77.98431238914962
paris-nice/2019/stage-3,Paris - Nice,50,60,200000,896,1,1099,,1,0,0,2019-03-12,0.00448,0.0,64.78587216919021
paris-nice/2000/prologue,Paris - Nice,50,,7900,63,1,880,,1,0,0,2000-03-05,0.007974683544303798,16.0,19.500327005446785
itzulia-basque-country/2009/stage-6,Vuelta Ciclista al País Vasco,50,,24000,290,2,1029,,1,0,0,2009-04-11,0.012083333333333333,203.0,91.13214018834762
tour-de-suisse/1977/stage-7,Tour de Suisse,50,,151000,2070,3,627,,1,0,0,1977-06-22,0.013708609271523179,0.0,0.0
tour-de-france/1981/stage-14,Tour de France,100,,38500,334,1,1362,,1,0,0,1981-07-10,0.008675324675324675,287.5,94.05783168261809
vuelta-a-espana/2018/stage-15,La Vuelta ciclista a España,80,100,178200,4586,5,1036,,1,0,0,2018-09-09,0.0257351290684624,1739.0,782.3977685995799
dwars-door-vlaanderen/1999/result,Dwars door België / À travers la Belgique,75,,200000,4678,5,340,,0,0,0,1999-03-22,0.02339,244.0,100.9404557635644
tour-de-suisse/1990/stage-4,Tour de Suisse,50,,98000,1557,3,767,,1,0,0,1990-06-15,0.015887755102040817,0.0,0.0
dauphine/2005/stage-5,Critérium du Dauphiné Libéré,50,,219000,3200,3,933,,1,0,0,2005-06-10,0.014611872146118721,816.0,303.73223326395856
dauphine/2004/stage-7,Critérium du Dauphiné Libéré,50,,200000,2703,2,737,,1,0,0,2004-06-13,0.013515,558.0,284.6266673232725
vuelta-a-espana/2009/stage-1,Vuelta a España,80,,4800,13,1,1220,,1,0,0,2009-08-29,0.0027083333333333334,34.0,10.834442240874841
itzulia-basque-country/2018/stage-6,Itzulia Basque Country,50,50,122200,2853,5,824,,1,0,0,2018-04-07,0.02334697217675941,462.0,354.81808678632643
e3-harelbeke/2001/result,E3-Prijs Harelbeke,125,,209000,1534,2,369,,0,0,0,2001-03-31,0.007339712918660287,232.5,170.8444341781586
tour-de-suisse/1987/stage-2,Tour de Suisse,50,,178500,1244,1,673,,1,0,0,1987-06-18,0.006969187675070028,14.0,24.963862770902352
tour-de-france/1999/stage-19,Tour de France,70,,57000,543,1,1255,,1,0,0,1999-07-24,0.009526315789473685,464.5,154.20430565595953
amstel-gold-race/2006/result,Amstel Gold Race,225,,253100,3435,2,1019,,0,0,0,2006-04-16,0.013571710786250494,174.0,282.2339557002747
vuelta-a-espana/2007/stage-8,Vuelta a España,80,,49000,97,1,995,,1,0,0,2007-09-08,0.001979591836734694,395.0,129.8487946273283
tirreno-adriatico/2022/stage-5,Tirreno-Adriatico,50,60,155000,2402,3,1059,,1,0,0,2022-03-11,0.015496774193548387,443.0,459.38565984192184
vuelta-a-espana/1999/prologue,Vuelta a España,80,,6000,63,1,1342,,1,0,0,1999-09-04,0.0105,26.0,16.271793031258095
vuelta-a-espana/2022/stage-2,La Vuelta ciclista a España,80,100,175100,518,1,968,24,1,0,0,2022-08-20,0.0029583095374071957,0.0,64.22188100639843
tour-de-suisse/2004/stage-9,Tour de Suisse,50,,25600,425,3,676,,1,0,0,2004-06-20,0.0166015625,152.0,72.06954375786148
tour-de-france/1979/stage-15,Tour de France,100,,55500,1900,5,1381,,1,0,0,1979-07-12,0.03423423423423423,833.5,327.98840073282173
amstel-gold-race/2022/result,Amstel Gold Race,225,500,254100,3460,2,705,10,0,0,0,2022-04-10,0.01361668634395907,445.0,224.23402061239503
tour-de-suisse/2016/stage-9,Tour de Suisse,50,60,57000,2625,2,680,,1,0,0,2016-06-19,0.046052631578947366,507.5,245.30149495788126
paris-nice/1997/stage-4,Paris - Nice,50,,197500,2636,2,779,,1,0,0,1997-03-13,0.013346835443037974,0.0,0.0
vuelta-a-espana/2010/stage-10,Vuelta a España,80,16,173700,2459,2,1123,,1,0,0,2010-09-07,0.014156591824985607,637.0,405.43658480967724
itzulia-basque-country/2004/stage-5b,Vuelta al País Vasco,50,,8500,7,1,1020,,1,0,0,2004-04-09,0.0008235294117647059,52.0,30.534655205836625
tour-de-france/1984/stage-13,Tour de France,100,,220500,2799,2,1632,,1,0,0,1984-07-11,0.012693877551020407,435.0,73.04947752844785
milano-sanremo/1983/result,Milano-Sanremo,275,,294000,2207,1,1251,,0,0,0,1983-03-19,0.007506802721088435,91.0,54.33465974832392
tour-de-france/1985/stage-10,Tour de France,100,,204500,3000,5,1470,,1,0,0,1985-07-08,0.014669926650366748,201.0,435.8740292905025
dauphine/2009/stage-5,Critérium du Dauphiné Libéré,50,,154000,3461,5,708,,1,0,0,2009-06-11,0.022474025974025973,1076.0,452.8691081695087
giro-d-italia/2014/stage-11,Giro d'Italia,80,16,249000,3435,2,892,,1,0,0,2014-05-21,0.013795180722891567,884.0,446.6390825735045
vuelta-a-espana/1982/stage-1b,Vuelta a España,80,,97000,1775,4,523,,1,0,0,1982-04-21,0.01829896907216495,0.0,427.64496931475736
tirreno-adriatico/1990/stage-7,Tirreno-Adriatico,50,,178000,1107,1,590,,1,0,0,1990-03-13,0.006219101123595506,0.0,0.0
tour-de-suisse/1989/stage-6,Tour de Suisse,50,,203000,1429,1,604,,1,0,0,1989-06-19,0.007039408866995074,40.0,15.54348738218036
paris-nice/1995/stage-2,Paris - Nice,50,,187000,2716,3,861,,1,0,0,1995-03-06,0.014524064171122994,223.0,328.7352653924487
giro-d-italia/1999/stage-19,Giro d'Italia,80,,166000,3428,5,1057,,1,0,0,1999-06-03,0.020650602409638553,1118.5,479.09863843666903
giro-d-italia/2010/stage-21,Giro d'Italia,80,16,15300,288,2,878,,1,0,0,2010-05-30,0.018823529411764704,96.0,42.32388239219811
dauphine/2023/stage-7,Critérium du Dauphiné,50,60,147900,4015,5,781,19,1,0,0,2023-06-10,0.027146720757268424,1682.0,713.7799661975544
dauphine/2004/stage-3,Critérium du Dauphiné Libéré,50,,180000,3242,4,737,,1,0,0,2004-06-09,0.01801111111111111,124.0,135.29912844032978
tour-de-france/1981/stage-12b,Tour de France,100,,133800,969,1,1362,,1,0,0,1981-07-08,0.007242152466367713,0.0,75.81034097653307
uae-tour/2022/stage-1,UAE Tour,50,40,184000,1303,1,621,,1,0,0,2022-02-20,0.007081521739130435,0.0,17.796527388700703
tour-de-romandie/1996/stage-2,Tour de Romandie,50,,188000,1069,1,614,,1,0,0,1996-05-08,0.005686170212765958,0.0,0.0
tour-de-france/1990/stage-9,Tour de France,100,,196000,2381,2,1959,,1,0,0,1990-07-09,0.012147959183673469,37.0,316.5355678440931
vuelta-a-espana/1998/stage-7,Vuelta a España,80,,186000,1594,1,1309,,1,0,0,1998-09-11,0.00856989247311828,0.0,142.12595375964113
tour-de-suisse/2022/stage-8,Tour de Suisse,50,60,25600,131,1,767,,1,0,0,2022-06-19,0.0051171875,154.5,76.0453362008134
paris-nice/1975/stage-7a,Paris - Nice,50,,105000,1538,3,951,,1,0,0,1975-03-16,0.014647619047619048,80.0,25.298221281347033
vuelta-a-espana/1984/stage-8,Vuelta a España,80,,269000,2408,1,747,,1,0,0,1984-04-25,0.008951672862453531,21.0,7.030992757422636
tour-de-france/1987/stage-24,Tour de France,100,,38000,472,2,1812,,1,0,0,1987-07-26,0.012421052631578947,367.0,129.13571522386508
paris-nice/1992/stage-6,Paris - Nice,50,,180000,2644,3,877,,1,0,0,1992-03-14,0.014688888888888888,74.0,26.229027903487093
tour-de-france/2016/stage-13,Tour de France,100,120,37500,752,3,1758,,1,0,0,2016-07-15,0.020053333333333333,408.0,136.1317107702936
paris-nice/1997/stage-6,Paris - Nice,50,,160500,2382,3,779,,1,0,0,1997-03-15,0.014841121495327103,0.0,219.67032262239167
tour-de-romandie/2012/stage-2,Tour de Romandie,50,6,149100,2459,4,727,,1,0,0,2012-04-26,0.016492287055667337,0.0,156.24038248546788
vuelta-a-espana/1986/stage-12,Vuelta a España,80,,258000,4880,4,843,,1,0,0,1986-05-04,0.01891472868217054,1.0,12.340088240275179
tour-de-suisse/2008/stage-6,Tour de Suisse,50,,188100,2918,3,1041,,1,0,0,2008-06-19,0.015513024986709197,592.0,291.2068693033928
tour-de-france/2021/stage-18,Tour de France,100,120,129700,3561,5,1646,,1,0,0,2021-07-15,0.02745566692367001,1115.0,579.673629095247
vuelta-a-espana/2003/stage-5,Vuelta a España,80,,166700,835,1,935,,1,0,0,2003-09-10,0.005008998200359928,2.0,206.56248763561518
tour-de-suisse/2003/stage-6,Tour de Suisse,50,,135000,3445,5,660,,1,0,0,2003-06-22,0.02551851851851852,917.0,521.8291184535216
vuelta-a-espana/1988/stage-7,Vuelta a España,80,,160000,479,1,828,,1,0,0,1988-05-01,0.00299375,0.0,0.0
la-fleche-wallone/1996/result,La Flèche Wallonne,225,,200500,3126,3,961,,0,0,0,1996-04-17,0.015591022443890275,211.5,465.6978463562798
world-championship/1996/result,World Championships - Road Race,350,,252000,4981,4,1238,,0,0,0,1996-10-13,0.019765873015873014,379.0,451.5306300395861
tour-de-france/2001/stage-1,Tour de France,100,,194500,1885,1,1496,,1,0,0,2001-07-08,0.009691516709511568,0.0,114.4896742745673
giro-d-italia/2020/stage-21,Giro d'Italia,80,100,15700,3,1,765,,1,0,0,2020-10-25,0.0001910828025477707,131.0,49.16422463823544
